"RK","TIERS","PLAYER NAME","TEAM","POS","BYE WEEK","PROJ. PTS","NOTES"
"1","1","Jahmyr Gibbs","DET","RB1","4","340","Upside play, volatile week-to-week"
"2","1","Bijan Robinson","ATL","RB2","11","315.4",""
"3","1","Puka Nacua","LAR","WR1","7","330",""
"4","1","Ja'Marr Chase","CIN","WR2","14","309.2",""
"5","1","Amon-Ra St. Brown","DET","WR3","10","289.8",""
"6","1","Jaxon Smith-Njigba","SEA","WR4","6","271.5","Safe floor, low ceiling"
"7","1","CeeDee Lamb","DAL","WR5","13","254.4",""
"8","1","Christian McCaffrey","SF","RB3","9","292.6",""
"9","1","Justin Jefferson","MIN","WR6","5","238.4",""
"10","1","James Cook","BUF","RB4","12","271.5","Upside play, volatile week-to-week"
"11","2","Saquon Barkley","PHI","RB5","8","251.9",""
"12","2","A.J. Brown","NE","WR7","4","223.4",""
"13","2","Ashton Jeanty","LV","RB6","11","233.7",""
"14","2","Jonathan Taylor","IND","RB7","7","216.8",""
"15","2","Omarion Hampton","LAC","RB8","14","201.1",""
"16","2","Josh Allen","BUF","QB1","10","380",""
"17","2","De'Von Achane","MIA","RB9","6","186.6",""
"18","2","Malik Nabers","NYG","WR8","13","209.4",""
"19","2","George Pickens","DAL","WR9","9","196.2","Upside play, volatile week-to-week"
"20","2","Nico Collins","HOU","WR10","5","183.8",""
"21","3","Kenneth Walker","KC","RB10","12","173.1",""
"22","3","Drake London","ATL","WR11","8","172.3",""
"23","3","Ladd McConkey","LAC","WR12","4","161.4",""
"24","3","Chase Brown","CIN","RB11","11","160.6",""
"25","3","Derrick Henry","BAL","RB12","7","149",""
"26","3","Jeremiyah Love","ARI","RB13","14","138.2",""
"27","3","Brock Bowers","LV","TE1","10","250",""
"28","3","Tetairoa McMillan","CAR","WR13","6","151.3","Upside play, volatile week-to-week"
"29","3","Cam Skattebo","NYG","RB14","13","128.2",""
"30","3","Rashee Rice","KC","WR14","9","141.8",""
"31","4","Chris Olave","NO","WR15","5","132.8",""
"32","4","Breece Hall","NYJ","RB15","12","119","Safe floor, low ceiling"
"33","4","Lamar Jackson","BAL","QB2","8","359.7",""
"34","4","Kyren Williams","LAR","RB16","4","110.4",""
"35","4","Trey McBride","ARI","TE2","11","224",""
"36","4","Colston Loveland","CHI","TE3","7","200.6",""
"37","4","Tyler Warren","IND","TE4","14","179.7","Upside play, volatile week-to-week"
"38","4","Jaylen Waddle","DEN","WR16","10","124.5",""
"39","4","Javonte Williams","DAL","RB17","6","102.4",""
"40","4","Sam LaPorta","DET","TE5","13","161",""
"41","5","Drake Maye","NE","QB3","9","340.4",""
"42","5","Tee Higgins","CIN","WR17","5","116.6",""
